SHIPMENT_ID,SHIPMENT_DATE,ORDER_CREATED_TS_UTC,LAST_EVENT_TS_UTC,DELIVERED_TS_UTC,OFFICE_CODE,OFFICE_NAME,CITY,REGION,HUB_TYPE,CUSTOMER_CODE,CUSTOMER_NAME,CUSTOMER_SEGMENT,CUSTOMER_TYPE,PREFERRED_SERVICE_CODE,SERVICE_CODE,SERVICE_NAME,PRIORITY_LEVEL,SLA_HOURS,TEMPERATURE_CONTROL_FLAG,DEST_POSTAL_CODE,DEST_CITY,DEST_REGION,ROUTE_CODE,CARRIER_MODE,WEIGHT_KG,WEIGHT_BAND_RAW,BASE_PRICE_EUR,FUEL_SURCHARGE_EUR,TOTAL_PRICE_EUR,DELIVERY_STATUS,ATTEMPT_COUNT,SOURCE_SYSTEM,SOURCE_PLATFORM,SAP_DOCUMENT_NO,SNOWFLAKE_BATCH_ID,EXTRACT_TS_UTC
PC-2023-000332,2023-01-01,2023-01-01T08:50:00Z,2023-01-02T21:50:00Z,2023-01-03T02:50:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,41855,Málaga,Sur,R-SEV01-02,Van,4.9,1-5 kg,7.86,0.64,8.5,Delivered,1.0,SAP_S4,Snowflake,8225300333,SF_BATCH_20230105,2023-02-12T09:15:00Z
PC-2023-000109,2023-01-01,2023-01-01T09:05:00Z,2023-01-02T15:05:00Z,2023-01-03T16:05:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,28243,Getafe,Centro,R-MAD01-02,Van,4.7,1-5 kg,8.31,0.67,8.98,Delivered,2.0,ParcelOps,Snowflake,8225300110,SF_BATCH_20230105,2023-01-20T10:00:00Z
PC-2023-000409,2023-01-01,2023-01-01T10:20:00Z,2023-01-02T21:20:00Z,2023-01-03T12:20:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,STD,Standard,Normal,48,False,28312,Alcalá de Henares,Centro,R-MAD01-02,Van,4.7,1-5 kg,8.78,0.72,9.5,Delivered,1.0,SAP_ECC,Snowflake,8225300410,SF_BATCH_20230105,2023-02-07T10:49:00Z
PC-2023-000416,2023-01-01,2023-01-01T11:15:00Z,2023-01-02T07:15:00Z,2023-01-03T10:15:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,28771,Alcalá de Henares,Centro,R-MAD01-02,Van,14.6,10+ kg,10.54,0.75,11.29,Delivered,1.0,SAP_S4,Snowflake,8225300417,SF_BATCH_20230105,2023-02-10T11:22:00Z
PC-2023-000468,2023-01-01,2023-01-01T11:20:00Z,2023-01-03T09:20:00Z,2023-01-04T18:20:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,ECO,Economy,Low,72,False,46715,Barcelona,Este,R-VAL02-01,Van,12.6,10+ kg,8.63,0.64,9.27,Delivered,2.0,SAP_S4,Snowflake,8225300469,SF_BATCH_20230105,2023-01-16T11:56:00Z
PC-2023-000411,2023-01-01,2023-01-01T12:00:00Z,2023-01-01T22:00:00Z,2023-01-02T09:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,41079,Sevilla,Sur,R-SEV01-02,Van,0.7,0-1 kg,10.4,0.81,11.21,Delivered,2.0,ParcelOps,Snowflake,8225300412,SF_BATCH_20230105,2023-01-19T12:20:00Z
PC-2023-000345,2023-01-01,2023-01-01T12:25:00Z,2023-01-02T21:25:00Z,2023-01-03T09:25:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,46455,Valencia,Este,R-BCN01-02,Van,14.9,10+ kg,10.73,0.74,11.47,Delivered,1.0,SAP_ECC,Snowflake,8225300346,SF_BATCH_20230105,2023-02-11T12:50:00Z
PC-2023-000099,2023-01-01,2023-01-01T12:30:00Z,2023-01-02T05:30:00Z,2023-01-02T12:30:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,46337,Castellón,Este,R-BCN01-02,Van,4.1,1-5 kg,12.43,1.01,13.44,Delivered,1.0,SAP_S4,Snowflake,8225300100,SF_BATCH_20230105,2023-01-14T12:59:00Z
PC-2023-000388,2023-01-01,2023-01-01T14:00:00Z,2023-01-02T14:00:00Z,2023-01-03T10:00:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,46652,Sabadell,Este,R-BCN01-02,Van,2.2,1-5 kg,9.11,0.66,9.77,Delivered,3.0,SAP_S4,Snowflake,8225300389,SF_BATCH_20230105,2023-02-05T14:39:00Z
PC-2023-000378,2023-01-01,2023-01-01T14:15:00Z,2023-01-02T12:15:00Z,2023-01-03T15:15:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,STD,Standard,Normal,48,False,41618,Cádiz,Sur,R-SEV01-02,Van,15.1,10+ kg,10.1,0.81,10.91,Delivered,1.0,SAP_S4,Snowflake,8225300379,SF_BATCH_20230105,2023-01-09T14:47:00Z
PC-2023-000441,2023-01-01,2023-01-01T14:30:00Z,2023-01-02T04:30:00Z,2023-01-02T14:30:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,EXP,Express,High,24,False,46400,Valencia,Este,R-VAL02-01,Van,2.5,1-5 kg,11.39,0.77,12.16,Delivered,1.0,SAP_ECC,Snowflake,8225300442,SF_BATCH_20230105,2023-01-09T15:09:00Z
PC-2023-000178,2023-01-01,2023-01-01T14:55:00Z,2023-01-02T02:55:00Z,2023-01-02T17:55:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,46887,Badalona,Este,R-BCN01-02,Van,7.0,5-10 kg,13.65,0.97,14.62,Delivered,1.0,SAP_S4,Snowflake,8225300179,SF_BATCH_20230105,2023-02-13T15:16:00Z
PC-2023-000093,2023-01-01,2023-01-01T15:55:00Z,2023-01-02T04:55:00Z,2023-01-02T15:55:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,41104,Jerez de la Frontera,Sur,R-SEV01-02,Van,6.8,5-10 kg,12.38,0.96,13.34,Delivered,1.0,SAP_S4,Snowflake,8225300094,SF_BATCH_20230105,2023-02-03T16:51:00Z
PC-2023-000434,2023-01-02,2023-01-02T07:50:00Z,2023-01-03T05:50:00Z,2023-01-04T00:50:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,46064,Badalona,Este,R-VAL02-01,Van,1.3,1-5 kg,7.92,0.61,8.53,Delivered,1.0,SAP_ECC,Snowflake,8225300435,SF_BATCH_20230105,2023-01-14T08:42:00Z
PC-2023-000045,2023-01-02,2023-01-02T08:30:00Z,2023-01-03T21:30:00Z,2023-01-04T14:30:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,46261,Sabadell,Este,R-BCN01-02,Van,19.5,10+ kg,9.73,0.65,10.38,Delivered,1.0,ParcelOps,Snowflake,8225300046,SF_BATCH_20230105,2023-02-14T09:11:00Z
PC-2023-000448,2023-01-02,2023-01-02T08:55:00Z,2023-01-03T14:55:00Z,2023-01-04T16:55:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,46089,Valencia,Este,R-BCN01-02,Van,4.9,1-5 kg,8.45,0.69,9.14,Delivered,1.0,SAP_S4,Snowflake,8225300449,SF_BATCH_20230105,2023-01-29T09:16:00Z
PC-2023-000260,2023-01-02,2023-01-02T09:40:00Z,2023-01-02T19:40:00Z,2023-01-03T08:40:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,46505,Badalona,Este,R-VAL02-01,Van,6.6,5-10 kg,12.69,1.0,13.69,Delivered,1.0,SAP_ECC,Snowflake,8225300261,SF_BATCH_20230105,2023-01-29T09:49:00Z
PC-2023-000155,2023-01-02,2023-01-02T11:15:00Z,2023-01-03T02:15:00Z,2023-01-03T13:15:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,28095,Alcalá de Henares,Centro,R-MAD01-02,Van,4.8,1-5 kg,13.12,0.85,13.97,Delivered,2.0,SAP_S4,Snowflake,8225300156,SF_BATCH_20230105,2023-01-21T12:06:00Z
PC-2023-000077,2023-01-02,2023-01-02T11:25:00Z,2023-01-03T21:25:00Z,2023-01-04T11:25:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,28148,Leganés,Centro,R-MAD01-02,Van,7.4,5-10 kg,9.98,0.69,10.67,Delivered,2.0,SAP_S4,Snowflake,8225300078,SF_BATCH_20230105,2023-02-01T12:07:00Z
PC-2023-000115,2023-01-02,2023-01-02T11:45:00Z,2023-01-03T00:45:00Z,2023-01-03T13:45:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,46782,Tarragona,Este,R-VAL02-01,Van,9.4,5-10 kg,13.29,0.87,14.16,Delivered,1.0,ParcelOps,Snowflake,8225300116,SF_BATCH_20230105,2023-02-07T12:07:00Z
